mm/dd, 2015:BON:spillpct (%), 2014:BON:spillpct (%), 2013:BON:spillpct (%), 2012:BON:spillpct (%), 2011:BON:spillpct (%), 2010:BON:spillpct (%)
9-Nov,0.404,0.393,0.868,0.892,16.35,0.956
10-Nov,0.399,0.374,0.841,0.807,11.794,1.148
11-Nov,0.405,0.354,0.796,0.814,2.385,0.935
12-Nov,0.392,0.321,0.815,0.784,1.483,0.926
13-Nov,0.417,0.344,0.838,0.809,1.048,0.883
14-Nov,0.431,0.356,0.865,0.755,0.789,0.897
15-Nov,0.434,0.35,0.859,0.774,0.743,0.89
16-Nov,0.399,0.333,0.895,0.783,0.685,0.996
17-Nov,0.37,0.339,0.878,0.802,0.694,0.985
18-Nov,6.943,0.352,0.868,0.789,0.728,0.959
19-Nov,11.255,0.357,0.903,0.778,0.747,0.903
20-Nov,1.636,0.359,0.844,0.751,0.742,0.883
21-Nov,0.374,0.377,0.751,0.818,0.712,0.918
22-Nov,0.371,0.42,0.716,0.794,0.692,0.862
23-Nov,2.857,0.454,0.73,0.785,0.706,0.821
24-Nov,1.451,0.532,0.769,0.791,0.718,0.783
25-Nov,0.722,0.781,0.78,0.798,0.81,0.754
26-Nov,0.824,0.719,0.781,0.709,0.809,0.843
27-Nov,0.786,0.752,0.778,0.726,0.831,0.967
28-Nov,0.765,0.803,0.829,0.723,0.751,0.847
29-Nov,0.675,0.712,0.814,0.726,0.757,0.815
30-Nov,0.672,0.595,0.787,0.734,0.736,0.706
1-Dec,0.747,9.887,0.408,0.698,0.675,0.415
2-Dec,0.766,13.823,0.39,0.685,0.755,0.396
3-Dec,0.787,13.687,1.712,0.665,0.728,0.366
4-Dec,0.84,11.328,1.439,0.63,0.695,0.365
5-Dec,0.406,13.227,0.327,0.585,0.664,0.386
6-Dec,0.42,8.331,0.331,0.563,0.657,0.259
7-Dec,0.34,0.298,0.353,0.552,0.668,0.408
8-Dec,0.293,0.302,0.332,0.531,0.657,0.404
9-Dec,3.515,0.303,0.316,0.523,0.657,0.397
10-Dec,0.809,0.303,0.323,0.59,0.659,1.495
11-Dec,0.266,0.301,0.326,0.492,0.683,2.341
12-Dec,0.255,0.301,0.318,0.561,0.33,0.932
13-Dec,0.319,0.298,0.385,0.515,0.325,1.525
14-Dec,0.341,0.285,0.378,0.512,0.314,8.645
15-Dec,0.334,0.298,0.431,0.555,0.331,14.648
16-Dec,0.315,0.306,0.383,0.572,0.367,13.038
17-Dec,0.299,0.292,0.38,0.613,0.378,0.403
18-Dec,0.333,0.279,0.373,0.521,0.374,1.856
19-Dec,0.315,0.275,0.354,0.57,0.376,1.12
20-Dec,0.35,0.241,0.373,0.672,0.32,0.374
21-Dec,0.307,0.252,0.379,0.623,0.317,0.395
22-Dec,0.36,0.261,0.381,0.597,0.349,0.375
23-Dec,0.383,0.285,0.379,0.691,0.363,0.391
24-Dec,0.427,0.345,0.379,0.698,0.357,0.382
25-Dec,0.446,0.29,0.373,0.689,0.367,0.414
26-Dec,0.395,0.286,0.37,0.698,0.339,0.434
27-Dec,0.385,0.271,0.375,0.658,0.338,0.394
28-Dec,0.381,0.284,0.383,0.635,0.331,0.356
29-Dec,0.364,0.273,0.381,0.624,0.357,0.322
30-Dec,0.369,0.248,0.392,0.534,0.289,0.299
31-Dec,0,0.241,0.396,0.492,0.326,0.306
